11,Жогорку Кенеш Кыргызской Республики
31 1 1 0,Военный суд Кыргызской Республики (аппарат)
32,Государственная служба исполнения наказаний при Правительстве Кыргызской Республики
32 1 2 0,Государственная служба исполнения наказаний при Правительстве Кыргызской Республики 
41 2 4 0,Департамент по водному хозяйству и мелиорации  (Турецкий кредит)
32 3 2 0,"Департамент по охране исправительных учреждений и конвоированию осужденных лиц, заключенных под стражу при Государственной службе исполнения наказаний при Правительстве Кыргызской Республики"
33,Министерство внутренних дел Кыргызской Республики
33 1 1 0,Министерство внутренних дел Кыргызской Республики (аппарат)
33 1 2 0,Министерство внутренних дел Кыргызской Республики (подведомственные организации)
33 2 2 0,Внутренние войска Министерства внутренних дел Кыргызской Республики  
33 3 2 0,Главное управление государственной специализированной службы Министерства внутренних дел Кыргызской Республики   
33 4 2 0,Академия Министерства внутренних дел Кыргызской Республики
34, Министерство образования и науки Кыргызской Республики
34 1 1 0, Министерство образования и науки Кыргызской Республики (аппарат)
34 1 2 1, Министерство образования и науки Кыргызской Республики (подведомственные учреждения) 
34 1 3 0, Министерство образования и науки Кыргызской Республики (подведомственные учреждения по науке) 
34 2 2 0,"Департамент по инвестициям, ремонту и материальному обеспечению при Министерстве образования и науки Кыргызской Республики"
34 9 1 1, Министерство образования и науки Кыргызской Республики (ПГИ) софинансирование
34 9 2 1, Министерство образования и науки Кыргызской Республики (Грант) 
34 9 3 1, Министерство образования и науки Кыргызской Республики (Кредит)
36,Фонд обязательного медицинского страхования при Правительстве Кыргызской Республики
36 1 1 0,Фонд обязательного медицинского страхования при Правительстве Кыргызской Республики (аппарат)
36 1 2 1,Фонд обязательного медицинского страхования при Правительстве Кыргызской Республики (подведомственные учреждения)
36 1 3 1,Фонд обязательного медицинского страхования (ФОМС)- Единый плательщик
37,Министерство здравоохранения Кыргызской Республики
37 1 1 0,Министерство здравоохранения Кыргызской Республики (аппарат)
37 1 2 1,Министерство здравоохранения Кыргызской Республики (подведомственные учреждения )
37 9 1 1,Министерство здравоохранения Кыргызской Республики (ПГИ) софинансирование
37 9 2 1,Министерство здравоохранения Кыргызской Республики (Грант)
37 9 3 1,Министерство здравоохранения Кыргызской Республики (Кредит)
38,Министерство  социального развития Кыргызской Республики
38 1 1 0,Министерство социального развития Кыргызской Республики(аппарат)
38 1 2 1,Министерство социального развития Кыргызской Республики (подведомственные учреждения)
38 9 1 1,Министерство социального развития Кыргызской Республики (ПГИ) софинансирование
38 9 2 1,Министерство социального развития Кыргызской Республики (Грант)
38 9 3 1,Министерство социального развития Кыргызской Республики (Кредит)
39,Академия государственного управления при Президенте Кыргызской Республики
39 1 2 0,Академия государственного управления при Президенте Кыргызской Республики
40,"Общественное объединение ""Организация ветеранов (пенсионеров) войны, труда, вооруженных сил, правоохранительных органов Кыргызской Республики"""
40 1 2 0,"Общественное объединение ""Организация ветеранов (пенсионеров) войны, труда, вооруженных сил, правоохранительных органов Кыргызской Республики"""
41,Министерство сельского хозяйства  и мелиорации Кыргызской Республики
41 1 1 0,Министерство сельского хозяйства и мелиорации Кыргызской Республики (аппарат)
41 1 2 1,Министерство сельского хозяйства  и мелиорации Кыргызской Республики (подведомственные учреждения)
41 1 4 0,Министерство сельского хозяйства  и мелиорации Кыргызской Республики (Турецкий кредит)
41 2 1 0,Департамент по водному хозяйству и мелиорации  (аппарат)
41 2 2 1,Департамент по водному хозяйству и мелиорации  (подведомственные учреждения)
41 3 2 1,Министерство сельского хозяйства и мелиорации Кыргызской Республики (Районные управления аграрного развития)
41 4 2 0,"Государственный проектный институт по землеустройству ""Кыргызгипрозем"" Кыргызской Республики"
41 5 2 0,"ГП ""Республиканская племенная станция по искусственному осеменению сельскохозяйственных животных ""Элита"" при Министерстве сельского хозяйства и мелиорации Кыргызской Республики"
41 9 1 1,Министерство сельского хозяйства и мелиорации Кыргызской Республики (ПГИ) софинансирование
41 9 2 1,Министерство сельского хозяйства и мелиорации Кыргызской Республики (Грант)
41 9 3 1,Министерство сельского хозяйстваи мелиорации Кыргызской Республики (Кредит) 
42,Министерство энергетики и промышленности Кыргызской Республики
42 1 1 0,Министерство энергетики и промышленности Кыргызской Республики (аппарат)
42 1 2 1,Министерство  энергетики и промышленности Кыргызской Республики (подведомственные учреждения)
42 2 2 0,Государственный департамент по регулированию ТЭК при Министерстве энергетики и промышленности
42 9 1 0,Министерство  энергетики и промышленности Кыргызской Республики (ПГИ) софинансирование
42 9 2 0,Министерство энергетики и промышленности Кыргызской Республики (Грант)
42 9 3 0,Министерство энергетики и промышленности Кыргызской Республики (Кредит)
43,Министерство транспорта и коммуникаций Кыргызской Республики
43 1 1 0,Министерство транспорта и коммуникаций Кыргызской Республики (аппарат)
43 1 2 0,Министерство транспорта и коммуникаций Кыргызской Республики (подведомственные учреждения)
43 2 1 0,Департамент дорожного хозяйства (аппарат)
43 2 2 0,Департамент дорожного хозяйства (подведомственные учреждения)
43 2 4 0,Департамент дорожного хозяйства (Турецкий кредит)
43 3 2 0,Агентство гражданской авиации при Министерстве транспорта и коммуникаций Кыргызской Республики
43 5 1 0,Государственное агентство автомобильного и водного транспорта при Министерстве транспорта и коммуникаций Кыргызской Республики (аппарат)
43 5 2 0,Государственное агентство автомобильного и водного транспорта при Министерстве транспорта и коммуникаций Кыргызской Республики (подведомственные учреждения)
