225,1,1.89438e+06,1,2007
226,1,2.04275e+06,2,2007
227,1,2.35493e+06,3,2007
228,1,2.56403e+06,4,2007
229,1,2.57976e+06,5,2007
230,1,3.11079e+06,6,2007
231,1,2.87976e+06,7,2007
232,1,2.90022e+06,8,2007
233,1,3.73223e+06,9,2007
234,1,3.8461e+06,10,2007
235,1,3.50961e+06,11,2007
236,1,4.57388e+06,12,2007
237,1,2.62559e+06,1,2008
238,1,3.2618e+06,2,2008
239,1,3.31681e+06,3,2008
240,1,4.38915e+06,4,2008
241,1,3.54343e+06,5,2008
242,1,3.88058e+06,6,2008
243,1,3.76031e+06,7,2008
244,1,4.50983e+06,8,2008
245,1,3.91946e+06,9,2008
246,1,4.31481e+06,10,2008
247,1,4.21686e+06,11,2008
248,1,4.85775e+06,12,2008
249,11,1.5845e+06,1,2007
250,11,1.74219e+06,2,2007
251,11,1.92611e+06,3,2007
252,11,1.90189e+06,4,2007
253,11,2.11807e+06,5,2007
254,11,2.24388e+06,6,2007
255,11,2.42032e+06,7,2007
256,11,2.37991e+06,8,2007
257,11,2.46861e+06,9,2007
258,11,2.50428e+06,10,2007
259,11,2.60425e+06,11,2007
260,11,2.65076e+06,12,2007
261,11,2.19158e+06,1,2008
262,11,2.49056e+06,2,2008
263,11,2.83014e+06,3,2008
264,11,2.78804e+06,4,2008
265,11,2.78229e+06,5,2008
266,11,2.84236e+06,6,2008
267,11,2.98473e+06,7,2008
268,11,3.3432e+06,8,2008
269,11,3.62445e+06,9,2008
270,11,3.31187e+06,10,2008
271,11,3.35145e+06,11,2008
272,11,3.38436e+06,12,2008
273,111,282656,1,2007
274,111,358138,2,2007
275,111,347800,3,2007
276,111,325179,4,2007
277,111,324403,5,2007
278,111,388487,6,2007
279,111,403946,7,2007
280,111,334044,8,2007
281,111,371952,9,2007
282,111,358500,10,2007
283,111,373775,11,2007
284,111,469030,12,2007
285,111,374661,1,2008
286,111,524503,2,2008
287,111,571354,3,2008
288,111,454062,4,2008
289,111,469192,5,2008
290,111,493572,6,2008
291,111,503688,7,2008
292,111,566975,8,2008
293,111,1.16853e+06,9,2008
294,111,548120,10,2008
295,111,571926,11,2008
296,111,662490,12,2008
297,1111,146838,1,2007
298,1111,170963,2,2007
299,1111,180234,3,2007
300,1111,160575,4,2007
301,1111,199123,5,2007
302,1111,206203,6,2007
303,1111,192440,7,2007
304,1111,194556,8,2007
305,1111,186824,9,2007
306,1111,191240,10,2007
307,1111,211085,11,2007
308,1111,282829,12,2007
309,1111,220493,1,2008
310,1111,262593,2,2008
311,1111,296972,3,2008
312,1111,296783,4,2008
313,1111,311672,5,2008
314,1111,341645,6,2008
315,1111,323146,7,2008
316,1111,392362,8,2008
317,1111,322615,9,2008
318,1111,332832,10,2008
319,1111,374222,11,2008
320,1111,454533,12,2008
321,11111,145274,1,2007
322,11111,164654,2,2007
323,11111,179198,3,2007
324,11111,168279,4,2007
325,11111,198649,5,2007
326,11111,206020,6,2007
327,11111,192255,7,2007
328,11111,194102,8,2007
329,11111,186014,9,2007
330,11111,190716,10,2007
331,11111,209753,11,2007
332,11111,282534,12,2007
333,11111,187709,1,2008
334,11111,236048,2,2008
335,11111,264502,3,2008
336,11111,274481,4,2008
337,11111,272872,5,2008
338,11111,290922,6,2008
339,11111,281274,7,2008
340,11111,271326,8,2008
341,11111,286510,9,2008
342,11111,301057,10,2008
343,11111,312611,11,2008
344,11111,394215,12,2008
345,11111100,111504,1,2007
346,11111100,127968,2,2007
347,11111100,138600,3,2007
348,11111100,134748,4,2007
349,11111100,155896,5,2007
350,11111100,166742,6,2007
351,11111100,151103,7,2007
352,11111100,152378,8,2007
353,11111100,145234,9,2007
354,11111100,148420,10,2007
355,11111100,167367,11,2007
356,11111100,241415,12,2007
357,11111100,146183,1,2008
358,11111100,184733,2,2008
359,11111100,203229,3,2008
360,11111100,214712,4,2008
361,11111100,211817,5,2008
362,11111100,229258,6,2008
363,11111100,216444,7,2008
364,11111100,211313,8,2008
365,11111100,223509,9,2008
366,11111100,238566,10,2008
367,11111100,247958,11,2008
368,11111100,330144,12,2008
369,11111200,3222,1,2007
370,11111200,5938,2,2007
371,11111200,5838.8,3,2007
372,11111200,3002.4,4,2007
373,11111200,3876.9,5,2007
374,11111200,2877.8,6,2007
375,11111200,2334,7,2007
376,11111200,4629,8,2007
377,11111200,4021.9,9,2007
378,11111200,3149.2,10,2007
379,11111200,4090.8,11,2007
380,11111200,3776.9,12,2007
381,11111200,3845.9,1,2008
382,11111200,6902.2,2,2008
383,11111200,6894.4,3,2008
384,11111200,4407.3,4,2008
385,11111200,5005.5,5,2008
386,11111200,3929.2,6,2008
387,11111200,4429,7,2008
388,11111200,4231.5,8,2008
389,11111200,5266.7,9,2008
390,11111200,5349.3,10,2008
391,11111200,5194.4,11,2008
392,11111200,6590.2,12,2008
393,11111300,,1,2007
394,11111300,0,2,2007
395,11111300,0,3,2007
396,11111300,0,4,2007
397,11111300,0,5,2007
398,11111300,0,6,2007
399,11111300,0,7,2007
400,11111300,0,8,2007
401,11111300,0,9,2007
402,11111300,0,10,2007
403,11111300,0,11,2007
404,11111300,0,12,2007
405,11111300,,1,2008
406,11111300,0,2,2008
407,11111300,0,3,2008
408,11111300,0,4,2008
409,11111300,0,5,2008
410,11111300,0,6,2008
411,11111300,0,7,2008
412,11111300,0,8,2008
413,11111300,0,9,2008
414,11111300,0,10,2008
415,11111300,0,11,2008
416,11111300,0,12,2008
417,11111400,30547.1,1,2007
418,11111400,30747.5,2,2007
