70622,Теплокоммунэнерго
70624,Комбинаты коммунальных предприятий и ритуальных услуг
70629,Прочие жилищные и коммунальные услуги 
7063,Водоснабжение
70631,Водоснабжение
7064,Освещение улиц
70641,Освещение улиц
7066,"Жилищные и коммунальные услуги, не отнесенные к другим категориям"
70661,"Жилищные и коммунальные услуги, не отнесенные к другим категориям"
70669,Другие  жилищные и коммунальные услуги
707,Здравоохранение
7071,"Медицинские изделия, оборудование и аппаратура"
70711,"Медицинские изделия, оборудование и аппаратура"
7072,Амбулаторные услуги
70721,Медицинские услуги общего профиля
70722,Специализированные медицинские услуги
70723,Стоматологические услуги
7073,Услуги больниц
70731,Услуги больниц общего профиля
70732,Услуги специализированных больниц
70733,"Услуги медицинских центров, гинекологических больниц и родильных домов"
70734,Услуги санаториев и домов для выздаравливающих
70735,Услуги больниц и центров восстановительного лечения для детей
7074,Услуги в области здравоохранения
70741,Станции скорой и неотложной помощи
70742,Станции переливания крови
70743,Санитарно-эпидемиологические станции и центры карантийных и опасных инфекций
70744,Дезинфекционные станции
70745,Мероприятия по борьбе с эпидемиями
70746,"Дома ребенка, комнаты матери и ребенка"
70747,Центры по борьбе со СПИДом
70748,Центры здоровья и мероприятия по санитарному просвещению
70749,Прочие услуги в области здравоохранения
7075,Научные исследования и опытно-конструкторские разработки в области здравоохранения
70751,Научные исследования и опытно-конструкторские разработки в области здравоохранения
7076,"Вопросы здравоохранения, не отнесенные к другим категориям"
70761,"Вопросы здравоохранения, не отнесенные к другим категориям"
70769,Другие услуги вобласти здравоохранения
708,"Отдых, культура и религия"
7081,Услуги по организации отдыха и занятий спортом
70811,Содержание и управление использованием спортивных объектов и объектов отдыха
70812,Спортивные учреждения и центры
70813,"Услуги, связанные с организацией спортивных мероприятий"
7082,Услуги в области культуры
70821,Библиотеки
70822,Музеи и выставки
70823,"Дворцы и дома культуры, клубы"
70824,"Театры, кинотеатры, филармонии, музыкальные коллективы, ансамбли "
70825,Прочие мероприятия по культуре
7083,"Услуги, связанные с радио- и телевизионным вещанием и издательским делом"
70831,Телерадиовещательные компании
70832,Издательства и редакции
7084,"Услуги, связанные с религией, и другие общественные услуги"
70841,"Услуги, связанные с религией, и другие общественные услуги"
7085,"НИОКР в области  отдыха, культуры и религии"
70851,"НИОКР в области  отдыха, культуры и религии"
7086,"Вопросы отдыха, спорта, культуры и религии, не отнесенные к другим категориям"
70861,"Услуги, связанные с реализацией молодежной политики"
70862,"Вопросы отдыха, спорта, культуры и религии, не отнесенные к другим категориям"
70868,Другие услуги по вопросам спорта 
70869,"Другие услуги по вопросам отдыха, культуры и религии"
709,Образование
7091,Дошкольное образование
70911,Дошкольное образование
7092,Среднее образование
70921,Среднее образование - общеобразовательные программы 
70922,Среднее профессионально-техническое образование
70923,Начальное образование - Общеобразовательные программые
7093,Продолженное среднее образование
70931,Продолженное среднее образование
7094,Высшее образование
70941,"Высшее образование, не ведущее к получению диплома"
70942,"Университеты и другие учебные заведения, дающие высшее образование"
7095,"Образование, не подразделенное по ступеням"
70951,Дополнительное образование и методическая работа 
70952,Повышение квалификации
7096,Вспомогательные услуги в системе образования
70961,Учреждения/мероприятия по внешкольной работе с детьми 
70962,Детские дома
70963,Музыкальные школы
70964,Специальные детские учебные учреждения
70965,Детские оздоровительные организации
7097,НИОКР в области образования
70971,НИОКР в области образования
7098,"Вопросы образования, не отнесенные к другим категориям"
70981,"Вопросы образования, не отнесенные к другим категориям"
70988,Другие услуги в области дошкольного образования
70989,Другие услуги в области среднего и высшего образования
710,Социальная защита
7101,Заболевания и нетрудоспособность
71011,Заболевания 
71012,Нетрудоспособность
7102,Старость
71021,Дома престарелых
71022,Социальный фонд
71023,Управление делами ветеранов войны и труда
7103,"Иждивенцы, оставшиеся без кормильца"
71031,"Иждивенцы, оставшиеся без кормильца"
7104,Семья и дети
71041,Детские учреждения-интернаты
71042,Прочие учреждения интернатского типа
71049,Прочие услуги по вопросам семьи и детей
7105,Безработица
71051,Безработица
7106,Жилье
71061,Жилье
7107,"Вопросы социальной неустроенности, не отнесенные к другим категориям"
71071,"Вопросы социальной неустроенности, не отнесенные к другим категориям"
7108,Научные исследования и опытно-конструкторские разработки в области социальной защиты
71081,Научные исследования и опытно-конструкторские разработки в области социальной защиты
7109,"Вопросы социальной защиты, не отнесенные к другим категориям"
71091, Мероприятия по социальной защите населения
71092,Отделы социальной защиты и выплатные центры 
71093,"Услуги социальной защиты, оказываемые не через учреждения интернатского типа"
71099,Другие услуги в области социальной защиты
